bin,count,mean_price,mean_action,charge%,discharge%,hold%,mean_SoC,mean_cash,sum_cash,method
< $10,1127,1.8064152617568765,0.16399578102504853,23.070097604259097,0.0,76.9299023957409,0.862829634207429,-2.006679347188288,-2261.5276242812006,SAC
$10 – $20,3611,15.898515646635282,0.22865303872286374,54.804763223483796,1.3569648296870673,43.83827194682914,0.6868688413892401,-7.35692838140094,-26565.868385238795,SAC
$20 – $24 (p_ref),2355,22.203380042462843,0.14296742465251647,50.276008492569005,11.0828025477707,38.6411889596603,0.4550751231816417,-6.485819952819649,-15274.105988890273,SAC
$24 – $40,6259,30.723094743569256,-0.01321006668077449,24.205144591787825,25.96261383607605,49.83224157213613,0.36471224385833734,1.2330612988968384,7717.730669795311,SAC
$40 – $80,3624,54.447243377483446,-0.20345477889996633,11.451434878587197,40.728476821192054,47.82008830022075,0.3392000926306952,25.660780555236187,92994.66873217594,SAC
$80 – $150,829,102.30685162846804,-0.37480900024397545,0.0,49.819059107358264,50.180940892641736,0.28044379273804737,79.51626990263266,65918.98774928247,SAC
> $150 (spike),195,209.19215384615384,-0.39984487830064236,0.0,45.12820512820513,54.87179487179487,0.2762185581028461,181.55946015087392,35404.094729420416,SAC
< $10,1127,1.8064152617568765,0.19581786616512814,19.875776397515526,0.0,80.12422360248448,0.8933954424528073,-2.1002389916922057,-2366.969343637116,Heuristic
$10 – $20,3611,15.898515646635282,0.37693369489475753,38.05040155081695,0.0,61.94959844918305,0.8197444538059442,-13.074096036950609,-47210.56078942865,Heuristic
$20 – $24 (p_ref),2355,22.203380042462843,0.7068437242267491,71.93205944798301,0.3397027600849257,27.728237791932067,0.5447401985605178,-32.88327510265049,-77440.1128667419,Heuristic
$24 – $40,6259,30.723094743569256,-0.3621027157648643,0.0,36.63524524684455,63.36475475315545,0.22339074073719759,21.9935742485094,137657.78122142033,Heuristic
$40 – $80,3624,54.447243377483446,-0.19227035467823347,0.0,19.508830022075056,80.49116997792494,0.130936327426351,21.47012897674525,77807.74741172479,Heuristic
$80 – $150,829,102.30685162846804,-0.0432713947767803,0.0,4.463208685162847,95.53679131483716,0.06334477732243382,8.90803956347216,7384.764798118421,Heuristic
> $150 (spike),195,209.19215384615384,-0.026235906817974188,0.0,3.076923076923077,96.92307692307692,0.05492058600752782,12.71237483427374,2478.9130926833795,Heuristic
