step,timestamp,hour,price,action,act_type,soc_before,new_soc,grid_mwh,cash,spread,degradation,is_spike
0,2025-10-01 02:40:00,2,30.63,-0.8716803789138794,discharge,0.5,0.48106688261032104,1.8160007894039154,55.62410417944193,11.658725067973133,1.8160007894039154,False
1,2025-10-01 02:45:00,2,30.95,-0.8618547916412354,discharge,0.48106688261032104,0.4623471796512604,1.7955308159192402,55.571678752700485,12.101877699295676,1.7955308159192402,False
2,2025-10-01 02:50:00,2,30.33,-0.8602357506752014,discharge,0.4623471796512604,0.4436626434326172,1.7921578139066696,54.35614649578929,10.968005821108813,1.7921578139066696,False
3,2025-10-01 02:55:00,2,35.19,-0.8778753876686096,discharge,0.4436626434326172,0.4245949685573578,1.8289070576429367,64.35923935845494,20.081399492919438,1.8289070576429367,False
4,2025-10-01 03:00:00,3,37.16,-0.8189465403556824,discharge,0.4245949685573578,0.4068072438240051,1.706138625741005,63.40011133253574,22.094495203346007,1.706138625741005,False
5,2025-10-01 03:05:00,3,33.93,-0.8165947794914246,discharge,0.4068072438240051,0.389070600271225,1.7012391239404678,57.723043475300074,16.536044284701344,1.7012391239404678,False
6,2025-10-01 03:10:00,3,30.92,-0.8176498413085938,discharge,0.389070600271225,0.3713110387325287,1.7034371693929036,52.67027727762858,11.430063406626385,1.7034371693929036,False
7,2025-10-01 03:15:00,3,29.76,-0.8076678514480591,discharge,0.3713110387325287,0.3537682890892029,1.6826413571834564,50.07540678977966,9.338659532368185,1.6826413571834564,False
8,2025-10-01 03:20:00,3,25.73,-0.8097562193870544,discharge,0.3537682890892029,0.336180180311203,1.68699212372303,43.406307343393564,2.564228028059005,1.68699212372303,False
9,2025-10-01 03:25:00,3,26.6,-0.8121367692947388,discharge,0.336180180311203,0.3185403645038605,1.6919516026973724,45.00591263175011,4.043764330446721,1.6919516026973724,False
10,2025-10-01 03:30:00,3,26.89,-0.8172313570976257,discharge,0.3185403645038605,0.30078989267349243,1.7025653272867203,45.78198165073991,4.5628750771284095,1.7025653272867203,False
11,2025-10-01 03:35:00,3,25.89,-0.8187434673309326,discharge,0.30078989267349243,0.28300657868385315,1.7057155569394429,44.16097576916218,2.8656021356582637,1.7057155569394429,False
12,2025-10-01 03:40:00,3,26.77,-0.8245927095413208,discharge,0.28300657868385315,0.2650962173938751,1.7179014782110849,45.98822257171074,4.397827784220375,1.7179014782110849,False
13,2025-10-01 03:45:00,3,26.56,-0.8090180158615112,discharge,0.2650962173938751,0.24752414226531982,1.6854541997114816,44.765663544336945,3.960817369321978,1.6854541997114816,False
14,2025-10-01 03:50:00,3,23.69,-0.8145613074302673,discharge,0.24752414226531982,0.22983166575431824,1.697002723813057,40.20199452713132,-0.8824414163827888,1.697002723813057,False
15,2025-10-01 03:55:00,3,25.46,-0.8026548624038696,discharge,0.22983166575431824,0.21239779889583588,1.6721976300080617,42.57415166000525,2.090247037510077,1.6721976300080617,False
